Match ID:,NA1_5313729225
Game Duration:,1752
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,085","3,038",+47
3,"5,494","4,993",+501
4,"7,358","6,644",+714
5,"9,123","8,031","+1,092"
6,"11,899","10,332","+1,567"
7,"13,212","11,728","+1,484"
8,"15,639","13,905","+1,734"
9,"16,643","16,063",+580
10,"19,283","17,897","+1,386"
11,"21,167","19,924","+1,243"
12,"23,874","21,256","+2,618"
13,"26,696","22,457","+4,239"
14,"29,595","24,427","+5,168"
15,"32,168","25,933","+6,235"
16,"34,876","28,422","+6,454"
17,"36,516","29,703","+6,813"
18,"40,258","31,284","+8,974"
19,"43,279","33,134","+10,145"
20,"44,565","35,730","+8,835"
21,"46,593","38,583","+8,010"
22,"47,894","42,818","+5,076"
23,"49,099","44,938","+4,161"
24,"52,640","47,203","+5,437"
25,"54,204","48,369","+5,835"
26,"57,432","50,110","+7,322"
27,"58,556","54,628","+3,928"
28,"60,800","56,287","+4,513"
29,"65,969","57,923","+8,046"
""
Objective Timeline
Time,Team,Objective,Details
6:24,Team 200,Chemtech Dragon,
12:05,Team 100,Fire Dragon,
12:06,Neutral,Dragon Soul Given,
12:43,Neutral,Bot Lane Outer Turret,Team 200's building
14:12,Neutral,Top Lane Outer Turret,Team 200's building
16:10,Neutral,Mid Lane Outer Turret,Team 200's building
17:14,Team 100,Monster,
17:58,Neutral,Mid Lane Inner Turret,Team 200's building
18:12,Neutral,Bot Lane Inner Turret,Team 200's building
19:07,Team 100,Earth Dragon,
20:28,Neutral,Bot Lane Outer Turret,Team 100's building; 500 gold
24:32,Team 100,Earth Dragon,
25:43,Team 100,Monster,
26:15,Neutral,Mid Lane Outer Turret,Team 100's building; 500 gold
26:31,Neutral,Top Lane Outer Turret,Team 100's building; 150 gold
28:09,Neutral,Mid Lane Base Turret,Team 200's building
28:17,Neutral,Inhibitor Building (Mid Lane),Team 200's building
28:28,Neutral,Mid Lane Nexus Turret,Team 200's building
28:57,Neutral,Mid Lane Nexus Turret,Team 200's building
