Match ID:,NA1_5302233142
Game Duration:,1710
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,961","3,013",-52
3,"4,452","4,787",-335
4,"6,475","6,526",-51
5,"8,165","7,972",+193
6,"10,402","10,010",+392
7,"12,204","11,574",+630
8,"14,533","12,653","+1,880"
9,"16,337","15,353",+984
10,"18,894","16,640","+2,254"
11,"20,957","18,121","+2,836"
12,"23,391","20,164","+3,227"
13,"25,664","23,402","+2,262"
14,"27,576","24,824","+2,752"
15,"29,378","26,757","+2,621"
16,"32,762","28,913","+3,849"
17,"35,114","30,539","+4,575"
18,"37,643","32,068","+5,575"
19,"39,379","33,643","+5,736"
20,"43,354","35,535","+7,819"
21,"44,950","37,031","+7,919"
22,"47,873","40,016","+7,857"
23,"50,263","42,458","+7,805"
24,"52,022","44,015","+8,007"
25,"55,168","47,190","+7,978"
26,"56,172","50,379","+5,793"
27,"58,907","52,942","+5,965"
28,"62,881","55,031","+7,850"
29,"64,325","55,346","+8,979"
""
Objective Timeline
Time,Team,Objective,Details
10:59,Team 200,Chemtech Dragon,
12:52,Neutral,Bot Lane Outer Turret,Team 200's building
14:45,Neutral,Mid Lane Outer Turret,Team 200's building
16:24,Neutral,Top Lane Outer Turret,Team 200's building
16:27,Team 100,Monster,
17:40,Team 100,Air Dragon,
17:41,Neutral,Dragon Soul Given,
19:22,Neutral,Mid Lane Inner Turret,Team 200's building
21:44,Neutral,Mid Lane Base Turret,Team 200's building
21:55,Neutral,Bot Lane Inner Turret,Team 200's building
22:10,Neutral,Bot Lane Base Turret,Team 200's building
23:46,Team 100,Hextech Dragon,
28:10,Neutral,Inhibitor Building (Mid Lane),Team 200's building
28:17,Neutral,Mid Lane Nexus Turret,Team 200's building
28:18,Neutral,Mid Lane Nexus Turret,Team 200's building
