Match ID:,NA1_5316420660
Game Duration:,1338
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,979","3,377",-398
3,"4,537","4,832",-295
4,"6,027","6,192",-165
5,"8,276","8,026",+250
6,"9,903","9,817",+86
7,"11,283","11,800",-517
8,"13,117","13,113",+4
9,"14,710","14,636",+74
10,"16,406","17,034",-628
11,"18,046","19,948","-1,902"
12,"20,546","22,631","-2,085"
13,"23,448","25,165","-1,717"
14,"25,466","26,703","-1,237"
15,"27,289","29,303","-2,014"
16,"29,924","32,088","-2,164"
17,"31,525","34,171","-2,646"
18,"32,838","37,820","-4,982"
19,"34,186","40,782","-6,596"
20,"37,775","42,586","-4,811"
21,"39,253","44,027","-4,774"
22,"41,238","48,449","-7,211"
""
Objective Timeline
Time,Team,Objective,Details
8:28,Team 200,Water Dragon,
14:18,Team 200,Air Dragon,
14:19,Neutral,Dragon Soul Given,
14:50,Neutral,Mid Lane Outer Turret,Team 200's building
15:04,Neutral,Bot Lane Outer Turret,Team 100's building
17:03,Team 200,Monster,
17:42,Neutral,Mid Lane Outer Turret,Team 100's building
18:19,Neutral,Mid Lane Inner Turret,Team 100's building
18:30,Neutral,Top Lane Outer Turret,Team 100's building
19:34,Team 200,Hextech Dragon,
19:52,Neutral,Top Lane Outer Turret,Team 200's building; 500 gold
21:22,Neutral,Bot Lane Outer Turret,Team 200's building; 500 gold
21:24,Neutral,Mid Lane Base Turret,Team 100's building
21:28,Neutral,Inhibitor Building (Mid Lane),Team 100's building
21:45,Neutral,Mid Lane Nexus Turret,Team 100's building
21:55,Neutral,Mid Lane Nexus Turret,Team 100's building
