Match ID:,NA1_5304386315
Game Duration:,928
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,047","2,948",+99
3,"4,557","4,485",+72
4,"6,483","5,723",+760
5,"9,138","7,145","+1,993"
6,"10,581","8,586","+1,995"
7,"12,421","9,665","+2,756"
8,"14,481","10,622","+3,859"
9,"16,962","12,525","+4,437"
10,"19,220","14,866","+4,354"
11,"21,665","16,746","+4,919"
12,"24,069","18,137","+5,932"
13,"25,595","19,616","+5,979"
14,"29,575","21,609","+7,966"
15,"31,359","22,847","+8,512"
""
Objective Timeline
Time,Team,Objective,Details
6:57,Team 200,Chemtech Dragon,
12:34,Team 100,Air Dragon,
12:35,Neutral,Dragon Soul Given,
13:16,Neutral,Mid Lane Outer Turret,Team 200's building
13:58,Neutral,Mid Lane Inner Turret,Team 200's building
15:21,Neutral,Bot Lane Outer Turret,Team 200's building
