Match ID:,NA1_5317964610
Game Duration:,1242
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,510",-10
2,"2,946","3,377",-431
3,"4,739","4,856",-117
4,"6,272","6,574",-302
5,"8,369","8,856",-487
6,"10,165","10,202",-37
7,"11,792","12,236",-444
8,"13,700","14,395",-695
9,"16,006","17,481","-1,475"
10,"18,132","19,336","-1,204"
11,"20,318","21,570","-1,252"
12,"23,383","23,708",-325
13,"25,147","27,006","-1,859"
14,"27,204","29,470","-2,266"
15,"29,494","31,883","-2,389"
16,"31,204","35,669","-4,465"
17,"33,251","40,080","-6,829"
18,"35,085","41,913","-6,828"
19,"36,622","43,822","-7,200"
20,"38,794","48,863","-10,069"
21,"40,964","50,282","-9,318"
""
Objective Timeline
Time,Team,Objective,Details
13:45,Neutral,Bot Lane Outer Turret,Team 100's building
13:52,Neutral,Mid Lane Outer Turret,Team 200's building
15:01,Team 200,Water Dragon,
15:23,Neutral,Top Lane Outer Turret,Team 100's building
15:26,Neutral,Bot Lane Outer Turret,Team 200's building
15:30,Neutral,Mid Lane Outer Turret,Team 100's building
16:19,Neutral,Top Lane Outer Turret,Team 200's building; 390 gold
16:38,Neutral,Bot Lane Inner Turret,Team 100's building
16:44,Team 200,Monster,
19:11,Neutral,Top Lane Inner Turret,Team 100's building
19:28,Neutral,Mid Lane Inner Turret,Team 100's building
19:35,Neutral,Mid Lane Base Turret,Team 100's building
19:37,Neutral,Top Lane Base Turret,Team 100's building
19:43,Neutral,Inhibitor Building (Mid Lane),Team 100's building
19:49,Neutral,Inhibitor Building (Top Lane),Team 100's building
19:58,Neutral,Mid Lane Nexus Turret,Team 100's building
20:06,Neutral,Mid Lane Nexus Turret,Team 100's building
20:09,Neutral,Bot Lane Inner Turret,Team 200's building; 800 gold
