Match ID:,NA1_5290705430
Game Duration:,1266
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,996","3,025",-29
3,"4,506","4,404",+102
4,"5,955","5,485",+470
5,"7,914","7,365",+549
6,"9,482","8,593",+889
7,"11,242","10,067","+1,175"
8,"12,848","11,469","+1,379"
9,"14,534","12,695","+1,839"
10,"17,769","13,889","+3,880"
11,"19,718","15,779","+3,939"
12,"22,081","16,940","+5,141"
13,"24,307","18,147","+6,160"
14,"27,814","19,314","+8,500"
15,"30,823","21,076","+9,747"
16,"33,373","24,792","+8,581"
17,"35,899","26,197","+9,702"
18,"39,212","27,650","+11,562"
19,"43,766","29,225","+14,541"
20,"45,098","30,779","+14,319"
21,"49,121","32,893","+16,228"
""
Objective Timeline
Time,Team,Objective,Details
6:18,Team 100,Water Dragon,
12:24,Team 100,Chemtech Dragon,
12:25,Neutral,Dragon Soul Given,
13:34,Neutral,Bot Lane Outer Turret,Team 200's building
14:50,Neutral,Mid Lane Outer Turret,Team 200's building
15:06,Neutral,Top Lane Outer Turret,Team 200's building
15:30,Team 100,Monster,
17:07,Neutral,Bot Lane Inner Turret,Team 200's building
17:13,Neutral,Mid Lane Inner Turret,Team 200's building
18:08,Team 100,Hextech Dragon,
18:58,Neutral,Top Lane Inner Turret,Team 200's building
20:06,Neutral,Mid Lane Base Turret,Team 200's building
20:15,Neutral,Bot Lane Base Turret,Team 200's building
20:20,Neutral,Inhibitor Building (Mid Lane),Team 200's building
20:20,Neutral,Inhibitor Building (Bot Lane),Team 200's building
20:27,Neutral,Top Lane Outer Turret,Team 100's building; 500 gold
20:32,Neutral,Mid Lane Nexus Turret,Team 200's building
20:48,Neutral,Mid Lane Nexus Turret,Team 200's building
