Match ID:,NA1_5306806533
Game Duration:,1779
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,976","2,976",+0
3,"4,474","4,538",-64
4,"7,104","5,938","+1,166"
5,"8,461","8,310",+151
6,"10,515","9,719",+796
7,"12,997","12,318",+679
8,"14,676","13,701",+975
9,"16,823","15,620","+1,203"
10,"18,880","17,775","+1,105"
11,"20,793","20,133",+660
12,"22,688","21,685","+1,003"
13,"25,420","23,224","+2,196"
14,"27,722","25,699","+2,023"
15,"29,566","28,105","+1,461"
16,"31,338","30,681",+657
17,"33,596","32,163","+1,433"
18,"36,929","33,784","+3,145"
19,"39,649","36,455","+3,194"
20,"42,397","38,532","+3,865"
21,"44,484","41,586","+2,898"
22,"46,353","43,110","+3,243"
23,"48,646","46,012","+2,634"
24,"50,272","47,304","+2,968"
25,"52,161","49,615","+2,546"
26,"54,193","51,684","+2,509"
27,"56,013","52,763","+3,250"
28,"57,760","57,075",+685
29,"58,676","62,080","-3,404"
30,"59,102","64,975","-5,873"
""
Objective Timeline
Time,Team,Objective,Details
7:34,Team 200,Earth Dragon,
15:39,Neutral,Top Lane Outer Turret,Team 100's building
15:51,Team 200,Monster,
16:35,Neutral,Bot Lane Outer Turret,Team 200's building
16:36,Team 100,Air Dragon,
16:36,Neutral,Dragon Soul Given,
17:40,Neutral,Mid Lane Outer Turret,Team 200's building
18:46,Neutral,Bot Lane Outer Turret,Team 100's building
18:56,Neutral,Top Lane Outer Turret,Team 200's building
23:16,Team 200,Hextech Dragon,
24:45,Neutral,Bot Lane Inner Turret,Team 200's building
25:09,Neutral,Bot Lane Base Turret,Team 200's building
28:03,Team 200,Monster,
28:39,Team 200,Hextech Dragon,
29:08,Neutral,Mid Lane Outer Turret,Team 100's building
29:16,Neutral,Mid Lane Inner Turret,Team 100's building
29:22,Neutral,Mid Lane Base Turret,Team 100's building
29:24,Neutral,Inhibitor Building (Mid Lane),Team 100's building
29:30,Neutral,Mid Lane Nexus Turret,Team 100's building
29:32,Neutral,Mid Lane Nexus Turret,Team 100's building
