Match ID:,NA1_5298009037
Game Duration:,1934
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,025","3,047",-22
3,"4,932","4,484",+448
4,"6,823","6,642",+181
5,"8,259","8,366",-107
6,"9,777","10,154",-377
7,"11,306","12,755","-1,449"
8,"13,493","14,092",-599
9,"15,003","16,164","-1,161"
10,"16,634","17,733","-1,099"
11,"18,256","19,527","-1,271"
12,"19,932","21,081","-1,149"
13,"21,490","24,104","-2,614"
14,"23,941","25,654","-1,713"
15,"26,257","27,233",-976
16,"27,764","29,277","-1,513"
17,"29,352","31,952","-2,600"
18,"31,422","33,524","-2,102"
19,"33,842","35,826","-1,984"
20,"35,938","37,650","-1,712"
21,"37,878","40,092","-2,214"
22,"39,404","41,947","-2,543"
23,"40,888","45,580","-4,692"
24,"43,605","46,540","-2,935"
25,"44,867","48,860","-3,993"
26,"48,769","51,863","-3,094"
27,"51,094","54,552","-3,458"
28,"52,560","57,313","-4,753"
29,"55,241","61,468","-6,227"
30,"57,582","63,629","-6,047"
""
Objective Timeline
Time,Team,Objective,Details
9:27,Team 200,Chemtech Dragon,
16:26,Team 200,Earth Dragon,
16:27,Neutral,Dragon Soul Given,
16:47,Neutral,Bot Lane Outer Turret,Team 100's building
16:48,Team 100,Monster,
19:25,Neutral,Top Lane Outer Turret,Team 200's building
21:10,Neutral,Mid Lane Outer Turret,Team 100's building
21:53,Team 200,Fire Dragon,
22:41,Neutral,Mid Lane Outer Turret,Team 200's building
23:50,Neutral,Bot Lane Outer Turret,Team 200's building; 360 gold
24:23,Neutral,Top Lane Outer Turret,Team 100's building
25:17,Team 200,Monster,
27:27,Team 200,Fire Dragon,
27:27,Neutral,Dragon Soul Given,
27:38,Neutral,Bot Lane Inner Turret,Team 100's building
28:38,Neutral,Mid Lane Inner Turret,Team 100's building
28:48,Neutral,Mid Lane Base Turret,Team 100's building
29:06,Neutral,Inhibitor Building (Mid Lane),Team 100's building
30:33,Neutral,Top Lane Inner Turret,Team 100's building
30:58,Neutral,Top Lane Base Turret,Team 100's building
31:01,Neutral,Inhibitor Building (Top Lane),Team 100's building
31:34,Neutral,Mid Lane Nexus Turret,Team 100's building
32:00,Neutral,Mid Lane Nexus Turret,Team 100's building
