Match ID:,NA1_5318170118
Game Duration:,1667
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,961","3,067",-106
3,"4,291","4,971",-680
4,"5,984","7,016","-1,032"
5,"7,270","9,535","-2,265"
6,"8,582","10,773","-2,191"
7,"9,861","12,854","-2,993"
8,"11,028","14,501","-3,473"
9,"12,592","15,934","-3,342"
10,"14,741","18,158","-3,417"
11,"16,595","19,630","-3,035"
12,"18,189","20,882","-2,693"
13,"20,269","22,293","-2,024"
14,"21,489","25,381","-3,892"
15,"23,612","27,675","-4,063"
16,"25,237","30,051","-4,814"
17,"27,999","33,540","-5,541"
18,"29,809","34,744","-4,935"
19,"32,100","37,092","-4,992"
20,"33,556","38,589","-5,033"
21,"34,956","40,681","-5,725"
22,"36,419","42,224","-5,805"
23,"40,228","44,806","-4,578"
24,"41,991","46,681","-4,690"
25,"44,042","48,332","-4,290"
26,"45,813","51,380","-5,567"
27,"47,281","54,382","-7,101"
28,"47,909","58,560","-10,651"
""
Objective Timeline
Time,Team,Objective,Details
12:18,Team 200,Hextech Dragon,
14:34,Neutral,Bot Lane Outer Turret,Team 100's building
15:22,Neutral,Top Lane Outer Turret,Team 100's building
15:48,Team 200,Monster,
16:04,Neutral,Bot Lane Outer Turret,Team 200's building; 390 gold
16:07,Neutral,Mid Lane Outer Turret,Team 100's building
16:40,Neutral,Mid Lane Outer Turret,Team 200's building
16:57,Neutral,Bot Lane Inner Turret,Team 100's building
17:44,Team 200,Earth Dragon,
17:44,Neutral,Dragon Soul Given,
22:28,Neutral,Top Lane Inner Turret,Team 100's building
23:43,Team 200,Air Dragon,
23:49,Neutral,Top Lane Outer Turret,Team 200's building
25:49,Neutral,Mid Lane Inner Turret,Team 100's building
26:16,Team 200,Monster,
27:28,Neutral,Mid Lane Base Turret,Team 100's building
27:31,Neutral,Inhibitor Building (Mid Lane),Team 100's building
27:41,Neutral,Mid Lane Nexus Turret,Team 100's building
