Match ID:,NA1_5310739537
Game Duration:,1654
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,041","3,022",+19
3,"4,752","4,782",-30
4,"6,592","6,719",-127
5,"8,456","8,175",+281
6,"10,030","9,478",+552
7,"11,729","12,631",-902
8,"13,791","14,270",-479
9,"15,733","16,803","-1,070"
10,"17,384","18,132",-748
11,"19,411","19,830",-419
12,"20,809","22,339","-1,530"
13,"22,427","24,285","-1,858"
14,"24,274","25,826","-1,552"
15,"26,005","28,800","-2,795"
16,"27,703","30,705","-3,002"
17,"30,211","33,966","-3,755"
18,"33,100","36,375","-3,275"
19,"34,888","38,876","-3,988"
20,"36,355","42,871","-6,516"
21,"37,454","44,388","-6,934"
22,"38,706","47,845","-9,139"
23,"41,835","49,524","-7,689"
24,"43,361","52,139","-8,778"
25,"45,084","56,129","-11,045"
26,"46,322","58,001","-11,679"
27,"47,529","63,057","-15,528"
28,"48,108","64,847","-16,739"
""
Objective Timeline
Time,Team,Objective,Details
6:09,Team 100,Hextech Dragon,
11:44,Team 200,Chemtech Dragon,
11:45,Neutral,Dragon Soul Given,
15:05,Neutral,Top Lane Outer Turret,Team 100's building
16:25,Neutral,Bot Lane Outer Turret,Team 100's building
16:56,Team 200,Monster,
17:33,Neutral,Top Lane Outer Turret,Team 200's building
17:43,Team 200,Water Dragon,
17:56,Neutral,Mid Lane Outer Turret,Team 100's building
19:36,Neutral,Bot Lane Inner Turret,Team 100's building
21:18,Neutral,Mid Lane Inner Turret,Team 100's building
22:46,Neutral,Bot Lane Outer Turret,Team 200's building; 500 gold
23:21,Team 200,Water Dragon,
24:06,Neutral,Bot Lane Base Turret,Team 100's building
24:20,Neutral,Inhibitor Building (Bot Lane),Team 100's building
24:48,Neutral,Top Lane Inner Turret,Team 100's building
26:20,Team 200,Monster,
26:39,Neutral,Mid Lane Base Turret,Team 100's building
26:55,Neutral,Top Lane Base Turret,Team 100's building
26:56,Neutral,Inhibitor Building (Mid Lane),Team 100's building
27:08,Neutral,Inhibitor Building (Top Lane),Team 100's building
27:15,Neutral,Mid Lane Nexus Turret,Team 100's building
27:23,Neutral,Mid Lane Nexus Turret,Team 100's building
