Match ID:,NA1_5313480765
Game Duration:,1838
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,036","3,000",+36
3,"4,386","4,833",-447
4,"5,842","6,566",-724
5,"7,197","8,508","-1,311"
6,"9,461","10,307",-846
7,"10,983","11,526",-543
8,"12,954","13,269",-315
9,"15,805","14,907",+898
10,"19,289","16,804","+2,485"
11,"20,746","18,626","+2,120"
12,"23,295","19,823","+3,472"
13,"24,375","23,036","+1,339"
14,"27,242","24,343","+2,899"
15,"30,692","25,695","+4,997"
16,"32,212","28,764","+3,448"
17,"34,841","31,254","+3,587"
18,"36,973","33,047","+3,926"
19,"39,862","34,549","+5,313"
20,"41,898","39,313","+2,585"
21,"43,890","42,035","+1,855"
22,"45,549","43,103","+2,446"
23,"46,942","44,527","+2,415"
24,"52,691","45,344","+7,347"
25,"54,069","47,848","+6,221"
26,"56,041","52,059","+3,982"
27,"56,976","55,626","+1,350"
28,"58,970","58,920",+50
29,"59,773","62,206","-2,433"
30,"61,410","64,097","-2,687"
""
Objective Timeline
Time,Team,Objective,Details
6:30,Team 200,Water Dragon,
12:28,Team 200,Air Dragon,
12:29,Neutral,Dragon Soul Given,
14:14,Neutral,Mid Lane Outer Turret,Team 200's building
14:25,Neutral,Bot Lane Outer Turret,Team 200's building
15:21,Neutral,Top Lane Outer Turret,Team 200's building
16:29,Neutral,Top Lane Outer Turret,Team 100's building
16:39,Team 100,Monster,
16:57,Neutral,Bot Lane Inner Turret,Team 200's building
17:45,Team 200,Chemtech Dragon,
17:58,Neutral,Top Lane Inner Turret,Team 200's building
19:14,Neutral,Mid Lane Outer Turret,Team 100's building
19:42,Neutral,Mid Lane Inner Turret,Team 100's building
23:19,Team 100,Chemtech Dragon,
23:42,Neutral,Mid Lane Inner Turret,Team 200's building
23:44,Neutral,Bot Lane Base Turret,Team 200's building
23:54,Neutral,Mid Lane Base Turret,Team 200's building
23:58,Neutral,Inhibitor Building (Bot Lane),Team 200's building
26:11,Team 200,Monster,
27:10,Neutral,Bot Lane Outer Turret,Team 100's building
27:29,Neutral,Bot Lane Inner Turret,Team 100's building
28:43,Team 200,Chemtech Dragon,
28:43,Neutral,Dragon Soul Given,
28:50,Neutral,Mid Lane Base Turret,Team 100's building
28:54,Neutral,Inhibitor Building (Mid Lane),Team 100's building
30:29,Neutral,Mid Lane Nexus Turret,Team 100's building
30:29,Neutral,Mid Lane Nexus Turret,Team 100's building
