Match ID:,NA1_5304263132
Game Duration:,1621
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,505","2,505",+0
2,"3,427","3,384",+43
3,"4,900","4,863",+37
4,"6,769","6,327",+442
5,"8,158","8,089",+69
6,"9,617","9,480",+137
7,"11,575","10,920",+655
8,"13,674","12,495","+1,179"
9,"14,940","15,435",-495
10,"16,570","17,590","-1,020"
11,"18,363","20,341","-1,978"
12,"21,421","21,328",+93
13,"22,991","24,152","-1,161"
14,"24,914","25,626",-712
15,"26,980","28,141","-1,161"
16,"29,785","29,435",+350
17,"31,705","31,548",+157
18,"34,376","32,927","+1,449"
19,"35,821","35,252",+569
20,"37,330","37,673",-343
21,"40,414","39,068","+1,346"
22,"42,706","40,880","+1,826"
23,"44,973","43,414","+1,559"
24,"46,728","45,328","+1,400"
25,"49,850","46,466","+3,384"
26,"54,039","47,577","+6,462"
27,"58,769","49,706","+9,063"
""
Objective Timeline
Time,Team,Objective,Details
6:02,Team 100,Earth Dragon,
10:25,Neutral,Top Lane Outer Turret,Team 100's building
11:41,Team 100,Air Dragon,
11:42,Neutral,Dragon Soul Given,
14:57,Neutral,Mid Lane Outer Turret,Team 200's building
15:21,Team 200,Monster,
15:50,Neutral,Bot Lane Outer Turret,Team 200's building
16:30,Neutral,Bot Lane Outer Turret,Team 100's building
17:17,Neutral,Top Lane Outer Turret,Team 200's building
17:22,Team 200,Fire Dragon,
22:53,Team 100,Fire Dragon,
25:13,Team 100,Monster,
26:13,Neutral,Mid Lane Inner Turret,Team 200's building
26:23,Neutral,Mid Lane Base Turret,Team 200's building
26:29,Neutral,Inhibitor Building (Mid Lane),Team 200's building
26:37,Neutral,Mid Lane Nexus Turret,Team 200's building
26:40,Neutral,Mid Lane Nexus Turret,Team 200's building
