Match ID:,NA1_5305516081
Game Duration:,1221
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,050","3,035",+15
3,"4,236","4,955",-719
4,"5,765","6,348",-583
5,"7,914","8,708",-794
6,"9,413","9,934",-521
7,"10,973","12,093","-1,120"
8,"13,295","13,525",-230
9,"15,734","15,382",+352
10,"17,373","17,536",-163
11,"20,120","19,445",+675
12,"22,650","21,482","+1,168"
13,"24,479","23,017","+1,462"
14,"28,174","25,722","+2,452"
15,"30,722","27,611","+3,111"
16,"34,289","29,716","+4,573"
17,"35,911","31,006","+4,905"
18,"40,221","32,970","+7,251"
19,"42,447","34,808","+7,639"
20,"47,000","36,093","+10,907"
""
Objective Timeline
Time,Team,Objective,Details
10:59,Team 200,Earth Dragon,
14:50,Neutral,Top Lane Outer Turret,Team 200's building
15:04,Neutral,Mid Lane Outer Turret,Team 200's building
15:37,Neutral,Bot Lane Outer Turret,Team 200's building
15:50,Neutral,Top Lane Outer Turret,Team 100's building
16:17,Team 100,Fire Dragon,
16:18,Neutral,Dragon Soul Given,
17:14,Neutral,Top Lane Inner Turret,Team 200's building
17:25,Neutral,Mid Lane Outer Turret,Team 100's building
17:38,Neutral,Top Lane Base Turret,Team 200's building
18:27,Team 100,Monster,
19:32,Neutral,Bot Lane Inner Turret,Team 200's building
19:39,Neutral,Mid Lane Inner Turret,Team 200's building
