Match ID:,NA1_5315869608
Game Duration:,1154
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,510","2,930",-420
2,"2,979","3,750",-771
3,"4,669","5,910","-1,241"
4,"6,366","7,558","-1,192"
5,"8,690","9,165",-475
6,"10,208","11,434","-1,226"
7,"11,420","14,286","-2,866"
8,"13,692","15,976","-2,284"
9,"14,889","18,174","-3,285"
10,"16,414","20,774","-4,360"
11,"18,893","23,579","-4,686"
12,"20,140","26,207","-6,067"
13,"22,756","28,284","-5,528"
14,"24,433","30,468","-6,035"
15,"26,313","32,934","-6,621"
16,"27,549","36,101","-8,552"
17,"29,361","41,650","-12,289"
18,"31,982","44,054","-12,072"
19,"34,403","47,421","-13,018"
""
Objective Timeline
Time,Team,Objective,Details
7:24,Team 200,Chemtech Dragon,
11:55,Neutral,Bot Lane Outer Turret,Team 100's building
12:45,Team 200,Air Dragon,
12:45,Neutral,Dragon Soul Given,
14:31,Neutral,Top Lane Outer Turret,Team 100's building
15:19,Team 200,Monster,
15:32,Neutral,Mid Lane Outer Turret,Team 100's building
15:43,Neutral,Mid Lane Inner Turret,Team 100's building
16:00,Neutral,Top Lane Inner Turret,Team 100's building
16:35,Neutral,Bot Lane Inner Turret,Team 100's building
16:55,Neutral,Bot Lane Base Turret,Team 100's building
17:01,Neutral,Mid Lane Base Turret,Team 100's building
17:26,Neutral,Top Lane Outer Turret,Team 200's building; 500 gold
18:11,Team 200,Hextech Dragon,
18:14,Neutral,Top Lane Base Turret,Team 100's building
18:29,Neutral,Inhibitor Building (Mid Lane),Team 100's building
18:29,Neutral,Inhibitor Building (Top Lane),Team 100's building
19:09,Neutral,Inhibitor Building (Bot Lane),Team 100's building
