Match ID:,NA1_5294669891
Game Duration:,1248
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,966","3,002",-36
3,"4,374","4,341",+33
4,"5,965","6,077",-112
5,"7,319","7,150",+169
6,"8,468","8,861",-393
7,"9,779","11,249","-1,470"
8,"11,535","12,556","-1,021"
9,"12,612","14,622","-2,010"
10,"14,045","16,546","-2,501"
11,"15,585","18,709","-3,124"
12,"17,615","21,518","-3,903"
13,"18,857","23,421","-4,564"
14,"20,591","25,818","-5,227"
15,"22,203","27,562","-5,359"
16,"24,730","29,456","-4,726"
17,"26,452","32,100","-5,648"
18,"28,747","33,747","-5,000"
19,"30,157","35,545","-5,388"
20,"31,715","39,266","-7,551"
21,"32,518","41,029","-8,511"
""
Objective Timeline
Time,Team,Objective,Details
10:52,Team 200,Chemtech Dragon,
14:56,Neutral,Top Lane Outer Turret,Team 100's building
15:49,Team 200,Monster,
16:14,Neutral,Bot Lane Outer Turret,Team 100's building
16:33,Team 200,Water Dragon,
16:33,Neutral,Dragon Soul Given,
16:49,Neutral,Mid Lane Outer Turret,Team 100's building
20:08,Neutral,Mid Lane Inner Turret,Team 100's building
