Match ID:,NA1_5309914005
Game Duration:,1445
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,505",-5
2,"3,052","3,528",-476
3,"4,584","4,994",-410
4,"6,025","7,309","-1,284"
5,"7,463","8,479","-1,016"
6,"9,393","9,940",-547
7,"10,681","11,951","-1,270"
8,"11,925","14,233","-2,308"
9,"13,406","15,692","-2,286"
10,"15,195","18,243","-3,048"
11,"17,719","20,610","-2,891"
12,"18,905","22,838","-3,933"
13,"21,496","24,320","-2,824"
14,"23,469","26,388","-2,919"
15,"24,757","28,651","-3,894"
16,"26,858","31,002","-4,144"
17,"29,317","32,747","-3,430"
18,"30,619","34,927","-4,308"
19,"31,754","38,475","-6,721"
20,"34,312","41,453","-7,141"
21,"36,475","43,662","-7,187"
22,"38,077","46,966","-8,889"
23,"39,762","49,673","-9,911"
24,"40,610","53,520","-12,910"
""
Objective Timeline
Time,Team,Objective,Details
14:38,Neutral,Mid Lane Outer Turret,Team 100's building
14:45,Team 200,Hextech Dragon,
15:32,Neutral,Bot Lane Outer Turret,Team 200's building
15:52,Neutral,Top Lane Outer Turret,Team 100's building
16:00,Team 200,Monster,
16:21,Neutral,Bot Lane Outer Turret,Team 100's building
18:27,Neutral,Mid Lane Inner Turret,Team 100's building
18:43,Neutral,Top Lane Inner Turret,Team 100's building
20:08,Team 200,Fire Dragon,
20:09,Neutral,Dragon Soul Given,
23:15,Neutral,Bot Lane Inner Turret,Team 100's building
23:37,Neutral,Bot Lane Base Turret,Team 100's building
24:01,Neutral,Inhibitor Building (Bot Lane),Team 100's building
