Match ID:,NA1_5319096051
Game Duration:,1710
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,893","2,927",-34
3,"4,488","4,616",-128
4,"5,908","6,196",-288
5,"7,245","8,116",-871
6,"8,852","9,197",-345
7,"10,540","11,083",-543
8,"12,220","12,779",-559
9,"13,489","14,829","-1,340"
10,"16,586","16,168",+418
11,"18,688","17,969",+719
12,"20,854","19,534","+1,320"
13,"23,557","21,885","+1,672"
14,"26,406","25,298","+1,108"
15,"28,795","27,697","+1,098"
16,"31,042","29,141","+1,901"
17,"33,076","31,801","+1,275"
18,"36,091","33,456","+2,635"
19,"37,744","35,305","+2,439"
20,"40,777","37,165","+3,612"
21,"42,181","38,740","+3,441"
22,"45,204","41,192","+4,012"
23,"47,497","42,651","+4,846"
24,"49,213","45,243","+3,970"
25,"52,275","46,220","+6,055"
26,"55,770","48,762","+7,008"
27,"58,019","52,905","+5,114"
28,"61,561","54,186","+7,375"
29,"63,325","56,432","+6,893"
""
Objective Timeline
Time,Team,Objective,Details
9:35,Team 100,Hextech Dragon,
15:41,Neutral,Mid Lane Outer Turret,Team 200's building
15:48,Team 100,Water Dragon,
15:48,Neutral,Dragon Soul Given,
16:47,Neutral,Top Lane Outer Turret,Team 100's building
17:27,Neutral,Bot Lane Outer Turret,Team 200's building
17:33,Neutral,Top Lane Outer Turret,Team 200's building
17:43,Team 100,Monster,
18:21,Neutral,Bot Lane Outer Turret,Team 100's building
19:38,Neutral,Mid Lane Outer Turret,Team 100's building
21:10,Team 200,Chemtech Dragon,
21:53,Neutral,Bot Lane Inner Turret,Team 100's building
22:13,Neutral,Mid Lane Inner Turret,Team 200's building
24:01,Neutral,Top Lane Inner Turret,Team 200's building
25:16,Team 100,Monster,
26:19,Neutral,Bot Lane Inner Turret,Team 200's building
26:44,Neutral,Top Lane Inner Turret,Team 100's building; 240 gold
26:45,Team 100,Chemtech Dragon,
27:50,Neutral,Mid Lane Base Turret,Team 200's building
27:53,Neutral,Inhibitor Building (Mid Lane),Team 200's building
28:06,Neutral,Mid Lane Nexus Turret,Team 200's building
28:13,Neutral,Mid Lane Nexus Turret,Team 200's building
