Match ID:,NA1_5306643895
Game Duration:,1688
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,981","3,018",-37
3,"4,563","4,486",+77
4,"6,570","6,332",+238
5,"8,376","7,844",+532
6,"9,821","9,351",+470
7,"11,600","11,337",+263
8,"13,094","12,954",+140
9,"15,857","14,163","+1,694"
10,"18,689","15,884","+2,805"
11,"20,317","18,644","+1,673"
12,"24,067","20,305","+3,762"
13,"26,031","21,919","+4,112"
14,"28,104","24,763","+3,341"
15,"29,516","26,251","+3,265"
16,"31,642","27,941","+3,701"
17,"32,880","32,147",+733
18,"35,014","33,911","+1,103"
19,"37,920","36,236","+1,684"
20,"40,092","37,088","+3,004"
21,"42,380","39,641","+2,739"
22,"44,759","41,163","+3,596"
23,"46,475","44,149","+2,326"
24,"48,146","45,639","+2,507"
25,"54,881","47,174","+7,707"
26,"57,961","49,010","+8,951"
27,"60,833","50,396","+10,437"
28,"65,828","51,821","+14,007"
""
Objective Timeline
Time,Team,Objective,Details
7:29,Team 100,Fire Dragon,
13:31,Neutral,Top Lane Outer Turret,Team 100's building
13:48,Team 100,Chemtech Dragon,
13:49,Neutral,Dragon Soul Given,
14:00,Neutral,Bot Lane Outer Turret,Team 200's building
15:03,Neutral,Bot Lane Outer Turret,Team 100's building
15:21,Neutral,Mid Lane Outer Turret,Team 200's building
16:10,Team 200,Monster,
16:41,Neutral,Mid Lane Outer Turret,Team 100's building
18:24,Neutral,Top Lane Outer Turret,Team 200's building
19:47,Team 100,Earth Dragon,
20:54,Neutral,Top Lane Inner Turret,Team 100's building
22:27,Neutral,Mid Lane Inner Turret,Team 100's building
24:42,Neutral,Mid Lane Inner Turret,Team 200's building
24:48,Neutral,Top Lane Inner Turret,Team 200's building
24:53,Neutral,Mid Lane Base Turret,Team 200's building
25:39,Team 100,Earth Dragon,
25:40,Neutral,Dragon Soul Given,
26:22,Team 100,Monster,
27:28,Neutral,Bot Lane Inner Turret,Team 200's building
27:43,Neutral,Inhibitor Building (Mid Lane),Team 200's building
27:56,Neutral,Mid Lane Nexus Turret,Team 200's building
27:59,Neutral,Mid Lane Nexus Turret,Team 200's building
