Match ID:,NA1_5308123915
Game Duration:,982
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,884",-384
2,"2,976","3,389",-413
3,"4,420","4,752",-332
4,"6,301","6,599",-298
5,"7,957","8,834",-877
6,"9,430","10,681","-1,251"
7,"10,629","12,641","-2,012"
8,"12,303","14,117","-1,814"
9,"14,281","16,216","-1,935"
10,"16,746","17,451",-705
11,"18,693","20,508","-1,815"
12,"20,913","21,776",-863
13,"24,362","22,880","+1,482"
14,"26,489","24,471","+2,018"
15,"28,739","25,534","+3,205"
16,"32,147","27,067","+5,080"
""
Objective Timeline
Time,Team,Objective,Details
14:47,Team 200,Hextech Dragon,
15:44,Neutral,Mid Lane Outer Turret,Team 200's building
