Match ID:,NA1_5313570231
Game Duration:,1610
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,900",-400
2,"3,057","3,366",-309
3,"4,517","4,681",-164
4,"6,118","6,269",-151
5,"8,204","7,768",+436
6,"9,933","9,619",+314
7,"11,770","10,744","+1,026"
8,"13,880","12,053","+1,827"
9,"15,623","13,847","+1,776"
10,"17,271","15,150","+2,121"
11,"19,352","16,833","+2,519"
12,"21,983","18,360","+3,623"
13,"23,863","20,541","+3,322"
14,"27,027","22,287","+4,740"
15,"29,305","24,056","+5,249"
16,"31,662","25,166","+6,496"
17,"34,145","27,534","+6,611"
18,"37,377","30,023","+7,354"
19,"41,355","32,386","+8,969"
20,"42,908","34,260","+8,648"
21,"45,654","37,167","+8,487"
22,"47,743","39,644","+8,099"
23,"49,046","41,284","+7,762"
24,"52,054","42,316","+9,738"
25,"53,099","44,202","+8,897"
26,"57,205","45,188","+12,017"
27,"62,072","46,278","+15,794"
""
Objective Timeline
Time,Team,Objective,Details
7:18,Team 100,Water Dragon,
12:44,Team 100,Earth Dragon,
12:45,Neutral,Dragon Soul Given,
13:50,Neutral,Bot Lane Outer Turret,Team 200's building
15:57,Neutral,Top Lane Outer Turret,Team 200's building
17:18,Neutral,Top Lane Inner Turret,Team 200's building
17:18,Neutral,Mid Lane Outer Turret,Team 200's building
17:27,Neutral,Bot Lane Outer Turret,Team 100's building; 500 gold
17:28,Team 100,Monster,
18:17,Team 100,Chemtech Dragon,
18:36,Neutral,Bot Lane Inner Turret,Team 200's building
18:42,Neutral,Top Lane Outer Turret,Team 100's building; 500 gold
18:50,Neutral,Bot Lane Base Turret,Team 200's building
18:55,Neutral,Mid Lane Inner Turret,Team 200's building
20:51,Neutral,Top Lane Base Turret,Team 200's building
24:20,Team 100,Chemtech Dragon,
24:20,Neutral,Dragon Soul Given,
25:42,Team 100,Monster,
26:15,Neutral,Mid Lane Base Turret,Team 200's building
26:20,Neutral,Inhibitor Building (Mid Lane),Team 200's building
26:23,Neutral,Inhibitor Building (Bot Lane),Team 200's building
26:28,Neutral,Mid Lane Nexus Turret,Team 200's building
26:32,Neutral,Mid Lane Nexus Turret,Team 200's building
