Match ID:,NA1_5317957984
Game Duration:,1245
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,743","3,365",+378
3,"5,244","4,784",+460
4,"6,658","6,807",-149
5,"8,619","8,642",-23
6,"10,173","9,709",+464
7,"11,734","11,263",+471
8,"14,258","12,854","+1,404"
9,"15,723","14,608","+1,115"
10,"17,910","15,929","+1,981"
11,"19,989","17,716","+2,273"
12,"21,658","19,327","+2,331"
13,"23,917","20,709","+3,208"
14,"25,241","22,030","+3,211"
15,"28,115","23,225","+4,890"
16,"29,802","25,228","+4,574"
17,"31,939","27,121","+4,818"
18,"33,827","28,642","+5,185"
19,"35,391","31,657","+3,734"
20,"38,364","33,772","+4,592"
21,"40,652","34,435","+6,217"
""
Objective Timeline
Time,Team,Objective,Details
9:42,Team 200,Air Dragon,
14:20,Neutral,Mid Lane Outer Turret,Team 200's building
14:31,Neutral,Top Lane Outer Turret,Team 200's building
16:19,Team 100,Chemtech Dragon,
16:20,Neutral,Dragon Soul Given,
17:18,Neutral,Bot Lane Outer Turret,Team 200's building
18:00,Team 100,Monster,
19:26,Neutral,Top Lane Outer Turret,Team 100's building
19:41,Neutral,Mid Lane Inner Turret,Team 200's building
