Match ID:,NA1_5315968425
Game Duration:,1916
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,983","3,083",-100
3,"4,449","4,554",-105
4,"6,708","5,976",+732
5,"9,194","7,803","+1,391"
6,"10,663","9,641","+1,022"
7,"13,149","11,608","+1,541"
8,"15,425","13,563","+1,862"
9,"16,967","15,041","+1,926"
10,"18,660","17,975",+685
11,"20,421","20,186",+235
12,"21,652","22,277",-625
13,"23,903","23,963",-60
14,"25,887","26,360",-473
15,"28,665","28,364",+301
16,"30,048","30,537",-489
17,"32,342","33,247",-905
18,"35,084","35,054",+30
19,"36,781","36,468",+313
20,"38,828","38,533",+295
21,"40,312","40,118",+194
22,"41,887","41,784",+103
23,"44,826","44,446",+380
24,"47,218","46,437",+781
25,"48,773","49,169",-396
26,"54,809","50,398","+4,411"
27,"57,880","52,213","+5,667"
28,"59,333","54,349","+4,984"
29,"64,688","57,714","+6,974"
30,"66,434","59,231","+7,203"
""
Objective Timeline
Time,Team,Objective,Details
8:32,Team 100,Water Dragon,
14:23,Neutral,Bot Lane Outer Turret,Team 200's building
14:36,Team 100,Air Dragon,
14:36,Neutral,Dragon Soul Given,
15:13,Neutral,Mid Lane Outer Turret,Team 100's building
16:40,Team 100,Monster,
16:57,Neutral,Bot Lane Outer Turret,Team 100's building
17:16,Neutral,Mid Lane Outer Turret,Team 200's building
19:43,Neutral,Top Lane Outer Turret,Team 200's building
20:24,Team 200,Chemtech Dragon,
22:28,Neutral,Top Lane Inner Turret,Team 200's building
23:26,Neutral,Top Lane Outer Turret,Team 100's building
25:58,Team 100,Monster,
26:38,Team 100,Chemtech Dragon,
26:52,Neutral,Bot Lane Inner Turret,Team 200's building
28:39,Neutral,Mid Lane Inner Turret,Team 200's building
28:55,Neutral,Mid Lane Base Turret,Team 200's building
29:02,Neutral,Inhibitor Building (Mid Lane),Team 200's building
31:11,Neutral,Bot Lane Base Turret,Team 200's building
31:33,Neutral,Inhibitor Building (Bot Lane),Team 200's building
31:39,Neutral,Mid Lane Nexus Turret,Team 200's building
31:47,Neutral,Mid Lane Nexus Turret,Team 200's building
