Match ID:,NA1_5292476055
Game Duration:,969
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,512",-12
2,"3,049","3,111",-62
3,"4,523","4,632",-109
4,"6,030","6,894",-864
5,"7,508","8,397",-889
6,"9,232","11,304","-2,072"
7,"10,577","13,761","-3,184"
8,"12,518","15,263","-2,745"
9,"13,866","17,703","-3,837"
10,"15,864","19,871","-4,007"
11,"17,699","22,789","-5,090"
12,"19,078","24,485","-5,407"
13,"20,782","27,530","-6,748"
14,"22,394","29,106","-6,712"
15,"25,283","30,643","-5,360"
16,"26,508","33,761","-7,253"
""
Objective Timeline
Time,Team,Objective,Details
8:53,Team 200,Earth Dragon,
12:59,Neutral,Bot Lane Outer Turret,Team 100's building
14:34,Neutral,Top Lane Outer Turret,Team 200's building; 500 gold
14:38,Team 200,Fire Dragon,
14:39,Neutral,Dragon Soul Given,
14:39,Neutral,Mid Lane Outer Turret,Team 100's building
