Match ID:,NA1_5318329312
Game Duration:,2318
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,975","2,989",-14
3,"4,210","4,819",-609
4,"5,631","6,913","-1,282"
5,"7,363","8,370","-1,007"
6,"9,406","9,755",-349
7,"12,197","11,014","+1,183"
8,"13,418","13,639",-221
9,"14,732","15,160",-428
10,"17,166","16,696",+470
11,"18,669","19,726","-1,057"
12,"20,846","21,118",-272
13,"23,537","23,055",+482
14,"26,749","24,938","+1,811"
15,"27,953","27,681",+272
16,"30,389","29,305","+1,084"
17,"32,478","32,286",+192
18,"34,824","34,456",+368
19,"37,455","36,989",+466
20,"38,918","38,740",+178
21,"42,253","40,361","+1,892"
22,"43,953","42,064","+1,889"
23,"46,187","45,548",+639
24,"49,067","47,737","+1,330"
25,"50,533","48,902","+1,631"
26,"53,342","51,109","+2,233"
27,"56,465","52,179","+4,286"
28,"58,738","54,932","+3,806"
29,"60,130","56,603","+3,527"
30,"61,567","58,043","+3,524"
""
Objective Timeline
Time,Team,Objective,Details
6:29,Team 200,Fire Dragon,
13:30,Team 100,Earth Dragon,
13:31,Neutral,Dragon Soul Given,
14:00,Neutral,Bot Lane Outer Turret,Team 200's building
14:05,Neutral,Top Lane Outer Turret,Team 100's building
16:11,Team 100,Monster,
16:48,Neutral,Mid Lane Outer Turret,Team 100's building
20:05,Team 200,Hextech Dragon,
20:24,Neutral,Top Lane Outer Turret,Team 200's building
20:41,Neutral,Mid Lane Outer Turret,Team 200's building
21:51,Neutral,Bot Lane Outer Turret,Team 100's building
22:10,Neutral,Mid Lane Inner Turret,Team 200's building
22:32,Neutral,Bot Lane Inner Turret,Team 100's building
26:04,Team 100,Monster,
28:02,Team 200,Hextech Dragon,
31:44,Neutral,Top Lane Inner Turret,Team 200's building
31:50,Neutral,Mid Lane Inner Turret,Team 100's building
33:05,Team 100,Monster,
33:22,Team 200,Hextech Dragon,
33:22,Neutral,Dragon Soul Given,
34:57,Neutral,Top Lane Inner Turret,Team 100's building
38:07,Neutral,Bot Lane Base Turret,Team 100's building
38:15,Neutral,Mid Lane Base Turret,Team 200's building
38:20,Neutral,Inhibitor Building (Mid Lane),Team 200's building
38:26,Neutral,Mid Lane Nexus Turret,Team 200's building
38:29,Neutral,Mid Lane Nexus Turret,Team 200's building
